Date, Open, High, Low, Close, Volume
04/03/25, 18.55, 18.65, 18.50, 18.50, 13231800
04/02/25, 18.60, 18.85, 18.40, 18.55, 3392600
04/01/25, 18.30, 18.65, 18.20, 18.50, 13410200
03/28/25, 18.15, 18.45, 18.00, 18.30, 9457500
03/27/25, 18.00, 18.20, 17.90, 18.00, 1445000
03/26/25, 17.90, 18.10, 17.80, 17.90, 7378100
03/25/25, 18.00, 18.00, 17.75, 17.85, 7973300
03/24/25, 17.65, 17.80, 17.65, 17.75, 1825700
03/21/25, 17.80, 18.00, 17.55, 17.75, 3201300
03/20/25, 17.60, 17.80, 17.45, 17.55, 355700
03/19/25, 17.70, 17.85, 17.45, 17.60, 468400
03/18/25, 17.75, 17.90, 17.50, 17.70, 12208600
03/17/25, 17.75, 18.00, 17.75, 17.80, 2199400
03/14/25, 17.95, 18.15, 17.50, 17.75, 3770100
03/13/25, 18.00, 18.00, 17.50, 17.85, 916000
03/12/25, 18.50, 18.50, 17.75, 17.95, 11705100
03/11/25, 18.00, 18.15, 17.75, 18.00, 9535600
03/10/25, 18.15, 18.15, 17.70, 18.00, 934600
03/07/25, 18.00, 18.20, 18.00, 18.05, 3576900
03/06/25, 17.70, 18.05, 17.50, 17.95, 12980500
03/05/25, 17.80, 17.95, 17.50, 17.70, 24925000
03/04/25, 18.00, 18.00, 17.05, 17.40, 2183300
03/03/25, 17.95, 18.20, 17.95, 18.10, 1881200
02/28/25, 18.00, 18.10, 17.90, 17.95, 1734900
02/27/25, 18.30, 18.30, 18.00, 18.10, 1103900
02/26/25, 18.30, 18.50, 18.00, 18.15, 5424300
02/25/25, 18.60, 18.75, 18.20, 18.50, 4531400
02/24/25, 18.75, 18.95, 18.50, 18.70, 1740500
02/21/25, 18.85, 19.00, 18.70, 18.80, 3041000
02/20/25, 18.85, 19.00, 18.75, 18.85, 1660300
02/19/25, 18.85, 19.40, 18.80, 18.95, 5656100
02/18/25, 18.50, 19.00, 18.50, 18.70, 3682900
02/17/25, 18.10, 18.65, 18.10, 18.50, 9578000
02/14/25, 18.30, 18.45, 18.00, 18.10, 26493500
02/13/25, 17.60, 18.30, 17.05, 17.95, 10275800
02/12/25, 17.70, 17.80, 17.00, 17.70, 8419600
02/11/25, 17.90, 18.00, 17.50, 17.75, 9072400
02/10/25, 17.80, 18.00, 17.70, 17.90, 1848700
02/07/25, 18.25, 18.25, 17.80, 17.95, 9991800
02/06/25, 18.25, 18.50, 18.00, 18.15, 11395300
02/05/25, 18.00, 18.80, 18.00, 18.45, 15718800
02/04/25, 17.80, 18.40, 17.50, 17.85, 14123100
02/03/25, 17.30, 17.80, 17.20, 17.60, 6685600
01/31/25, 17.40, 17.50, 16.85, 17.20, 29290400
01/30/25, 18.30, 18.30, 17.30, 17.70, 9095100
01/29/25, 18.50, 18.85, 17.00, 18.30, 13437700
01/28/25, 18.80, 18.90, 18.40, 18.85, 10776300
01/27/25, 18.90, 18.90, 18.50, 18.80, 1302100
01/24/25, 18.90, 18.90, 18.75, 18.90, 8417100
